frame,video_time_s,object,source,confidence,distance_m,closing_speed_mps,ttc_s,lane_overlap,in_lane,risk,action,incident_image
1,0.033,person,yolo11n,0.8017,19.44,0.0,,0.0,False,SAFE,person OUTSIDE VEHICLE LANE,
1,0.033,person,yolo11n,0.7883,19.44,0.0,,0.0,False,SAFE,person OUTSIDE VEHICLE LANE,
1,0.033,person,yolo11n,0.6243,15.22,0.0,,0.0,False,SAFE,person OUTSIDE VEHICLE LANE,
1,0.033,car,yolo11n,0.5655,50.4,0.0,,1.0,True,SAFE,car AT SAFE DISTANCE,
1,0.033,person,yolo11n,0.5485,20.59,0.0,,0.0,False,SAFE,person OUTSIDE VEHICLE LANE,
1,0.033,person,yolo11n,0.5446,15.22,0.0,,0.0,False,SAFE,person OUTSIDE VEHICLE LANE,
1,0.033,car,yolo11n,0.4844,15.56,0.0,,0.0,False,SAFE,car OUTSIDE VEHICLE LANE,
1,0.033,car,yolo11n,0.4134,37.06,0.0,,1.0,True,SAFE,car AT SAFE DISTANCE,
1,0.033,car,yolo11n,0.3328,57.27,0.0,,1.0,True,SAFE,car AT SAFE DISTANCE,
1,0.033,motorcycle,yolo11n,0.323,7.09,0.0,,0.0,False,SAFE,motorcycle OUTSIDE VEHICLE LANE,
1,0.033,person,yolo11n,0.3133,26.92,0.0,,0.0,False,SAFE,person OUTSIDE VEHICLE LANE,
1,0.033,bench,yolo11n,0.3125,10.37,0.0,,0.0,False,SAFE,bench OUTSIDE VEHICLE LANE,
2,0.067,person,yolo11n,0.8378,19.08,0.0,,0.0,False,SAFE,person OUTSIDE VEHICLE LANE,
2,0.067,person,yolo11n,0.8125,18.76,0.0,,0.0,False,SAFE,person OUTSIDE VEHICLE LANE,
2,0.067,person,yolo11n,0.6798,20.59,0.0,,0.0,False,SAFE,person OUTSIDE VEHICLE LANE,
2,0.067,car,yolo11n,0.6021,49.72,0.0,,1.0,True,SAFE,car AT SAFE DISTANCE,
2,0.067,person,yolo11n,0.5872,15.0,0.0,,0.0,False,SAFE,person OUTSIDE VEHICLE LANE,
2,0.067,person,yolo11n,0.5716,15.46,0.0,,0.0,False,SAFE,person OUTSIDE VEHICLE LANE,
2,0.067,bench,yolo11n,0.516,10.51,0.0,,0.0,False,SAFE,bench OUTSIDE VEHICLE LANE,
2,0.067,car,yolo11n,0.4239,36.69,0.0,,1.0,True,SAFE,car AT SAFE DISTANCE,
2,0.067,motorcycle,yolo11n,0.3817,7.0,0.0,,0.0,False,SAFE,motorcycle OUTSIDE VEHICLE LANE,
2,0.067,car,yolo11n,0.3453,58.23,0.0,,1.0,True,SAFE,car AT SAFE DISTANCE,
4,0.133,person,yolo11n,0.7411,18.64,7.997,2.331,0.0,False,SAFE,person OUTSIDE VEHICLE LANE,
4,0.133,person,yolo11n,0.7075,14.65,5.698,2.571,0.0,False,SAFE,person OUTSIDE VEHICLE LANE,
4,0.133,car,yolo11n,0.6073,49.28,11.195,4.402,1.0,True,CAUTION,CAUTION - car IN VEHICLE LANE,
4,0.133,person,yolo11n,0.6071,18.42,0.0,,0.0,False,SAFE,person OUTSIDE VEHICLE LANE,
4,0.133,car,yolo11n,0.4079,15.37,0.0,,0.0,False,SAFE,car OUTSIDE VEHICLE LANE,
4,0.133,bench,yolo11n,0.3466,10.33,0.4,25.836,0.0,False,SAFE,bench OUTSIDE VEHICLE LANE,
4,0.133,bus,yolo11n,0.314,50.0,0.0,,1.0,True,SAFE,bus AT SAFE DISTANCE,
6,0.2,person,yolo11n,0.7041,14.06,6.957,2.021,0.0,False,SAFE,person OUTSIDE VEHICLE LANE,
6,0.2,car,yolo11n,0.6587,48.99,8.457,5.793,1.0,True,SAFE,car AT SAFE DISTANCE,
6,0.2,person,yolo11n,0.6282,18.42,0.0,,0.0,False,SAFE,person OUTSIDE VEHICLE LANE,
6,0.2,person,yolo11n,0.4825,12.96,0.0,,0.0,False,SAFE,person OUTSIDE VEHICLE LANE,
