frame,video_time_s,object,source,confidence,distance_m,distance_method,closing_speed_mps,ttc_s,lane_overlap,x1,y1,x2,y2,in_lane,risk,action,decision_source,rule_id,rule_priority,competing_rules,decision_trace,explanation,incident_image,track_key
26,1.04,pothole,best.pt,0.3169,5.67,width_fallback,0.0,,0.285,749,375,837,441,True,WARNING,SLOW DOWN AND PREPARE TO AVOID ROAD DAMAGE,prolog,road_damage_warning,62,3,warning:road_damage_warning:62* | warning:generic_warning:55 | caution:caution_object_in_vehicle_lane:40 | safe:object_at_safe_distance:20,Road damage ahead; slow down and prepare to avoid.,C:\Users\User\Documents\GitHub\AIproject\output\incidents\road_video_3.mp4\road_video_3.mp4_f26_WARNING_pothole.jpg,road_video_3.mp4:best.pt:pothole:g17:9
30,1.2,pothole,best.pt,0.4789,4.08,width_fallback,0.0,,0.87,721,396,878,520,True,WARNING,SLOW DOWN AND PREPARE TO AVOID ROAD DAMAGE,prolog,road_damage_warning,62,3,warning:road_damage_warning:62* | warning:generic_warning:55 | caution:caution_object_in_vehicle_lane:40 | safe:object_at_safe_distance:20,Road damage ahead; slow down and prepare to avoid.,C:\Users\User\Documents\GitHub\AIproject\output\incidents\road_video_3.mp4\road_video_3.mp4_f30_WARNING_pothole.jpg,road_video_3.mp4:best.pt:pothole:g18:9
31,1.24,pothole,best.pt,0.4408,4.81,width_fallback,0.0,,0.558,756,404,867,478,True,WARNING,SLOW DOWN AND PREPARE TO AVOID ROAD DAMAGE,prolog,road_damage_warning,62,3,warning:road_damage_warning:62* | warning:generic_warning:55 | caution:caution_object_in_vehicle_lane:40 | safe:object_at_safe_distance:20,Road damage ahead; slow down and prepare to avoid.,,road_video_3.mp4:best.pt:pothole:g18:9
31,1.24,pothole,best.pt,0.4237,6.52,width_fallback,0.0,,0.254,771,409,855,452,True,WARNING,SLOW DOWN AND PREPARE TO AVOID ROAD DAMAGE,prolog,road_damage_warning,62,3,warning:road_damage_warning:62* | warning:generic_warning:55 | caution:caution_object_in_vehicle_lane:40 | safe:object_at_safe_distance:20,Road damage ahead; slow down and prepare to avoid.,C:\Users\User\Documents\GitHub\AIproject\output\incidents\road_video_3.mp4\road_video_3.mp4_f31_WARNING_pothole.jpg,road_video_3.mp4:best.pt:pothole:g19:10
31,1.24,pothole,best.pt,0.3097,3.66,width_fallback,0.0,,0.919,721,404,874,524,True,WARNING,SLOW DOWN AND PREPARE TO AVOID ROAD DAMAGE,prolog,road_damage_warning,62,3,warning:road_damage_warning:62* | warning:generic_warning:55 | caution:caution_object_in_vehicle_lane:40 | safe:object_at_safe_distance:20,Road damage ahead; slow down and prepare to avoid.,,road_video_3.mp4:best.pt:pothole:g17:9
33,1.32,pothole,best.pt,0.4047,3.94,width_fallback,6.179,0.638,0.983,740,419,879,547,True,CRITICAL,BRAKE AND AVOID ROAD DAMAGE,prolog,brake_and_avoid_road_damage,95,5,critical:brake_and_avoid_road_damage:95* | critical:brake_now_object_too_close:90 | warning:road_damage_warning:62 | warning:generic_warning:55 | caution:caution_object_in_vehicle_lane:40 | safe:object_at_safe_distance:20,Immediate maneuver to avoid road damage is required.,C:\Users\User\Documents\GitHub\AIproject\output\incidents\road_video_3.mp4\road_video_3.mp4_f33_CRITICAL_pothole.jpg,road_video_3.mp4:best.pt:pothole:g17:9
33,1.32,pothole,best.pt,0.369,5.88,width_fallback,0.0,,0.557,773,422,872,485,True,WARNING,SLOW DOWN AND PREPARE TO AVOID ROAD DAMAGE,prolog,road_damage_warning,62,3,warning:road_damage_warning:62* | warning:generic_warning:55 | caution:caution_object_in_vehicle_lane:40 | safe:object_at_safe_distance:20,Road damage ahead; slow down and prepare to avoid.,,road_video_3.mp4:best.pt:pothole:g19:10
33,1.32,pothole,best.pt,0.3296,0.92,width_fallback,0.0,,0.415,0,309,615,601,True,CRITICAL,BRAKE AND AVOID ROAD DAMAGE,prolog,brake_and_avoid_road_damage,95,5,critical:brake_and_avoid_road_damage:95* | critical:brake_now_object_too_close:90 | warning:road_damage_warning:62 | warning:generic_warning:55 | caution:caution_object_in_vehicle_lane:40 | safe:object_at_safe_distance:20,Immediate maneuver to avoid road damage is required.,C:\Users\User\Documents\GitHub\AIproject\output\incidents\road_video_3.mp4\road_video_3.mp4_f33_CRITICAL_pothole.jpg,road_video_3.mp4:best.pt:pothole:g0:7
39,1.56,pothole,best.pt,0.3657,3.86,width_fallback,0.0,,0.0,841,340,985,396,False,SAFE,OBJECT OUTSIDE VEHICLE LANE,prolog,object_outside_vehicle_lane,25,1,safe:object_outside_vehicle_lane:25* | safe:object_at_safe_distance:20,Object is outside the vehicle lane and not an immediate collision threat.,,road_video_3.mp4:best.pt:pothole:g20:8
40,1.6,pothole,best.pt,0.3443,3.7,width_fallback,0.0,,0.0,839,336,993,405,False,SAFE,OBJECT OUTSIDE VEHICLE LANE,prolog,object_outside_vehicle_lane,25,1,safe:object_outside_vehicle_lane:25* | safe:object_at_safe_distance:20,Object is outside the vehicle lane and not an immediate collision threat.,,road_video_3.mp4:best.pt:pothole:g20:8
